"OSPF
Area-ID",排序用,區別,學校類型,單位別,單位名稱,"連線
方式",群別,"中華介接
VLAN-ID","電路附
掛編號",Caps_Auto,"英文
簡稱",TYC-VPN,,,,,,,,"4G WAN-IP
Cisco 899G 4G LTE",,,"實體IP段
DNS-1、NTP-1
IPV4(預設)","實體IP段
DNS-2、NTP-2
IPV4(預設)","新核發IPv4網段
vlan 101",,,,"虛擬IP段
DNS-1、NTP-1
IPV4(預設)","虛擬IP段
DNS-2、NTP-2
IPV4(預設)","教師行政段（行政辦公室、一般教室、印表機）
vlan 200 (202、204、206) (DHCP)",,,,,,"學生教學段（電腦教室、專科教室、印表機）
vlan 300 (DHCP)",,,,,,"Thin Client
vlan 400",,,,,,openstack VM,,,,,,MGMT for openstack VM,,,,,vCloud VM,,,,,,,MGMT for vCloud VM,,,,,"校園IP Phone (瑪凱電信)
vlan 240 (DHCP)",,,,"WIFI-AP (old Ruckus)
vlan 208 (DHCP)",,,,"WIFI-AP (new Ruckus)
vlan 210 (DHCP)",,,,"WIFI TYC_iTaiwan
vlan 212 (DHCP)",,,,,"WIFI TANetRoaming
vlan 214 (DHCP)",,,,,"WIFI TYC_STAFF
vlan 216 (DHCP)",,,,,"WIFI TYC_OpenID
vlan 218 (DHCP)",,,,,"WIFI eduroam
vlan 220 (DHCP)",,,,,"有線認證、TYC_FatAP
vlan 222 (DHCP)",,,,,"TYC_Learning (MAC Address認證)
vlan 224 (DHCP)",,,,,"校園核心路由交換器 Device MGT
vlan 900 (ospf)",,,,,"校園網路設備管理網段
vlan 910",,,
,,,,,,,,,,,,"A點
ISR-4331",,"B點
FG-3000D","C點
EX9208","D點
EX9208B","遮罩
A-B-D","幼兒園 VPN
NAT IP",備註,NAT,SIN Card,遮罩,,,核發網段,遮罩,預設閘道,"可使用IP
(前32個)",,,核發網段,遮罩,預設閘道,可用IP/核發IP數量,CGNAT,備註,核發網段,遮罩,預設閘道,可用IP/核發IP數量,CGNAT,備註,核發網段,遮罩,預設閘道,可用IP/核發IP數量,"VM for 
Thin Client
(VDI)","NAT IP
(CGNAT)",核發網段,遮罩,預設閘道,可用IP/核發IP數量,"DNAT
(外網服務)","SNAT
(內網服務)",Vlan ID,核發網段,遮罩,預設閘道,可用IP/核發IP數量,Vlan ID,核發網段,遮罩,預設閘道,可用IP/核發IP數量,"DNAT
(外網服務)","SNAT
(內網服務)",Vlan ID,核發網段,遮罩,預設閘道,可用IP/核發IP數量,核發網段,遮罩,預設閘道,可用IP/核發IP數量,核發網段,遮罩,預設閘道,可用IP/核發IP數量,核發網段,遮罩,預設閘道,可用IP/核發IP數量,核發網段,遮罩,預設閘道,可用IP/核發IP數量,CGNAT,核發網段,遮罩,預設閘道,可用IP/核發IP數量,CGNAT,核發網段,遮罩,預設閘道,可用IP/核發IP數量,CGNAT,核發網段,遮罩,預設閘道,可用IP/核發IP數量,CGNAT,核發網段,遮罩,預設閘道,可用IP/核發IP數量,CGNAT,核發網段,遮罩,預設閘道,可用IP/核發IP數量,CGNAT,核發網段,遮罩,預設閘道,可用IP/核發IP數量,CGNAT,核發網段,遮罩,"預設閘道
Cisco 3650 LAN","899G-4G LTE 
LAN","Cisco 4331
LAN",核發網段,遮罩,預設閘道,可用IP/核發IP數量
221,1,八德區,01 一般,01國小,八德國小,"FTTB-300M
(5:1)",A,221,33YD000075,BDES,bdes,10.12.22.49,10.12.22.50,10.12.22.51,10.12.22.53,10.12.22.54,29,,,120.125.222.1,10.13.0.1,23,163.30.0.1,163.30.0.2,163.30.85.128,25,163.30.85.254,163.30.85.129 ~ 159,10.255.4.1,10.255.4.2,"10.32.0.0
10.32.1.0
10.32.2.0
10.32.3.0",22,10.32.3.254,1008/1024,163.30.85.192 ~ 207,"固定IP區段 
10.32.0.1 ~ 50","10.40.0.0
10.40.1.0
10.40.2.0
10.40.3.0",22,10.40.3.254,1008/1024,163.30.85.208 ~ 223,"固定IP區段 
10.40.0.1 ~ 50",10.72.0.0,22,10.72.3.254,1019/1024,10.242.0.0/16,120.125.220.0/23,10.240.0.0,24,10.240.0.254,250/256,163.30.85.224 ~ 235,163.30.85.248                          ,2221,10.250.0.0,24,10.250.0.254,250256,1221,10.244.0.0,24,10.244.0.254,250/256,163.30.85.236 ~ 247,163.30.85.249,3221,10.252.0.0,24,10.252.0.254,250256,"10.16.0.0
10.16.1.0",23,10.16.1.254,500/512,10.62.1.0,24,10.62.1.254,249/256,10.48.1.0,24,10.48.1.254,249/256,10.82.0.0,22,10.82.3.254,1020/1024,120.125.192.4 ~ 7,10.52.1.0,24,10.52.1.254,249/256,,10.55.80.0,24,10.55.80.254,249/256,,10.57.80.0,24,10.57.80.254,249/256,,10.95.60.0,22,10.95.63.254,1020/1024,120.125.204.60 ~ 63,10.61.80.0,24,10.61.80.254,249/256,120.125.211.68 ~ 71,10.67.60.0,22,10.67.63.254,1020/1024,120.125.218.68 ~ 71,10.0.136.64,26,10.0.136.126,10.0.136.65,10.0.136.66,10.1.33.0,24,10.1.33.254,249/256
226,2,八德區,01 一般,01國小,大安國小,"FTTB-300M
(5:1)",A,226,33YD000084,DAES,daes,10.12.22.89,10.12.22.90,10.12.22.91,10.12.22.93,10.12.22.94,29,,,120.125.222.2,10.13.0.2,23,163.30.0.1,163.30.0.2,163.30.89.128,25,163.30.89.254,163.30.89.129 ~ 159,10.255.4.1,10.255.4.2,"10.32.4.0 
10.32.5.0 
10.32.6.0 
10.32.7.0",22,10.32.7.254,1008/1024,163.30.89.192 ~ 207,"固定IP區段 
10.32.4.1 ~ 50","10.40.4.0 
10.40.5.0 
10.40.6.0 
10.40.7.0",22,10.40.7.254,1008/1024,163.30.89.208 ~ 223,"固定IP區段 
10.40.4.1 ~ 50",10.72.4.0,22,10.72.7.254,1019/1024,,,10.240.1.0,24,10.240.1.254,250/256,163.30.89.224 ~ 235,163.30.89.248                          ,2226,10.250.1.0,24,10.250.1.254,250256,1226,10.244.1.0,24,10.244.1.254,250/256,163.30.89.236 ~ 247,163.30.89.249,3226,10.252.1.0,24,10.252.1.254,250256,"10.16.2.0
10.16.3.0",23,10.16.3.254,500/512,10.62.2.0,24,10.62.2.254,249/256,10.48.2.0,24,10.48.2.254,249/256,10.82.4.0,22,10.82.7.254,1020/1024,120.125.192.8 ~ 11,10.52.2.0,24,10.52.2.254,249/256,,10.55.76.0,24,10.55.76.254,249/256,,10.57.76.0,24,10.57.76.254,249/256,,10.95.44.0,22,10.95.47.254,1020/1024,120.125.204.44 ~ 47,10.61.76.0,24,10.61.76.254,249/256,120.125.211.52 ~ 55,10.67.44.0,22,10.67.47.254,1020/1024,120.125.218.52 ~ 55,10.0.136.128,26,10.0.136.190,10.0.136.129,10.0.136.130,10.1.34.0,24,10.1.34.254,249/256
217,3,八德區,01 一般,01國小,大成國小,"FTTB-300M
(5:1)",A,217,33YD000062,DCHES,dches,10.12.22.57,10.12.22.58,10.12.22.59,10.12.22.61,10.12.22.62,29,,,120.125.222.3,10.13.0.3,23,163.30.0.1,163.30.0.2,163.30.86.0,25,163.30.86.126,163.30.86.1 ~ 31,10.255.4.1,10.255.4.2,"10.32.8.0 
10.32.9.0 
10.32.10.0 
10.32.11.0",22,10.32.11.254,1008/1024,163.30.86.64 ~ 79,"固定IP區段 
10.32.8.1 ~ 50","10.40.8.0 
10.40.9.0 
10.40.10.0 
10.40.11.0",22,10.40.11.254,1008/1024,163.30.86.80 ~ 95,"固定IP區段 
10.40.8.1 ~ 50",10.72.8.0,22,10.72.11.254,1019/1024,,,10.240.2.0,24,10.240.2.254,250/256,163.30.86.96 ~ 107,163.30.86.120                          ,2217,10.250.2.0,24,10.250.2.254,250256,1217,10.244.2.0,24,10.244.2.254,250/256,163.30.86.108 ~ 119,163.30.86.121,3217,10.252.2.0,24,10.252.2.254,250256,"10.16.4.0 
10.16.5.0",23,10.16.5.254,500/512,10.62.3.0,24,10.62.3.254,249/256,10.48.3.0,24,10.48.3.254,249/256,10.82.8.0,22,10.82.11.254,1020/1024,120.125.192.12 ~ 15,10.52.3.0,24,10.52.3.254,249/256,,10.55.81.0,24,10.55.81.254,249/256,,10.57.81.0,24,10.57.81.254,249/256,,10.95.64.0,22,10.95.67.254,1020/1024,120.125.204.64 ~ 67,10.61.81.0,24,10.61.81.254,249/256,120.125.211.72 ~ 75,10.67.64.0,22,10.67.67.254,1020/1024,120.125.218.72 ~ 75,10.0.136.192,26,10.0.136.254,10.0.136.193,10.0.136.194,10.1.35.0,24,10.1.35.254,249/256
223,4,八德區,01 一般,01國小,大勇國小,"FTTB-300M
(5:1)",A,223,33YD000063,TYPS,typs,10.12.22.65,10.12.22.66,10.12.22.67,10.12.22.69,10.12.22.70,29,,,120.125.222.4,10.13.0.4,23,163.30.0.1,163.30.0.2,163.30.87.0,25,163.30.87.126,163.30.87.1 ~ 31,10.255.4.1,10.255.4.2,"10.32.12.0 
10.32.13.0 
10.32.14.0 
10.32.15.0",22,10.32.15.254,1008/1024,163.30.87.64 ~ 79,"固定IP區段 
10.32.12.1 ~ 50","10.40.12.0 
10.40.13.0 
10.40.14.0 
10.40.15.0",22,10.40.15.254,1008/1024,163.30.87.80 ~ 95,"固定IP區段 
10.40.12.1 ~ 50",10.72.12.0,22,10.72.15.254,1019/1024,,,10.240.3.0,24,10.240.3.254,250/256,163.30.87.96 ~ 107,163.30.87.120                          ,2223,10.250.3.0,24,10.250.3.254,250256,1223,10.244.3.0,24,10.244.3.254,250/256,163.30.87.108 ~ 119,163.30.87.121,3223,10.252.3.0,24,10.252.3.254,250256,"10.16.6.0 
10.16.7.0",23,10.16.7.254,500/512,10.62.4.0,24,10.62.4.254,249/256,10.48.4.0,24,10.48.4.254,249/256,10.82.12.0,22,10.82.15.254,1020/1024,120.125.192.16 ~ 19,10.52.4.0,24,10.52.4.254,249/256,,10.55.82.0,24,10.55.82.254,249/256,,10.57.82.0,24,10.57.82.254,249/256,,10.95.68.0,22,10.95.71.254,1020/1024,120.125.204.68 ~ 71,10.61.82.0,24,10.61.82.254,249/256,120.125.211.76 ~ 79,10.67.68.0,22,10.67.71.254,1020/1024,120.125.218.76 ~ 79,10.0.137.0,26,10.0.137.62,10.0.137.1,10.0.137.2,10.1.36.0,24,10.1.36.254,249/256
222,5,八德區,01 一般,01國小,大忠國小,"FTTB-300M
(5:1)",A,222,33YD000030,DJES,djes,10.12.22.113,10.12.22.114,10.12.22.115,10.12.22.117,10.12.22.118,29,,,120.125.222.5,10.13.0.5,23,163.30.0.1,163.30.0.2,163.30.91.0,25,163.30.91.126,163.30.91.1 ~ 31,10.255.4.1,10.255.4.2,"10.32.16.0 
10.32.17.0 
10.32.18.0 
10.32.19.0",22,10.32.19.254,1008/1024,163.30.91.64 ~ 79,"固定IP區段 
10.32.16.1 ~ 50","10.40.16.0 
10.40.17.0 
10.40.18.0 
10.40.19.0",22,10.40.19.254,1008/1024,163.30.91.80 ~ 95,"固定IP區段 
10.40.16.1 ~ 50",10.72.16.0,22,10.72.19.254,1019/1024,,,10.240.4.0,24,10.240.4.254,250/256,163.30.91.96 ~ 107,163.30.91.120                          ,2222,10.250.4.0,24,10.250.4.254,250256,1222,10.244.4.0,24,10.244.4.254,250/256,163.30.91.108 ~ 119,163.30.91.121,3222,10.252.4.0,24,10.252.4.254,250256,"10.16.8.0 
10.16.9.0",23,10.16.9.254,500/512,10.62.5.0,24,10.62.5.254,249/256,10.48.5.0,24,10.48.5.254,249/256,10.82.16.0,22,10.82.19.254,1020/1024,120.125.192.20 ~ 23,10.52.5.0,24,10.52.5.254,249/256,,10.55.79.0,24,10.55.79.254,249/256,,10.57.79.0,24,10.57.79.254,249/256,,10.95.56.0,22,10.95.59.254,1020/1024,120.125.204.56 ~ 59,10.61.79.0,24,10.61.79.254,249/256,120.125.211.64 ~ 67,10.67.56.0,22,10.67.59.254,1020/1024,120.125.218.64 ~ 67,10.0.137.64,26,10.0.137.126,10.0.137.65,10.0.137.66,10.1.37.0,24,10.1.37.254,249/256
216,6,八德區,01 一般,01國小,廣興國小,"FTTB-300M
(5:1)",B,216,33YD000035,KUHES,kuhes,10.12.22.105,10.12.22.106,10.12.22.107,10.12.22.109,10.12.22.110,29,,,120.125.222.6,10.13.0.6,23,163.30.0.1,163.30.0.2,163.30.90.128,25,163.30.90.254,163.30.90.129 ~ 159,10.255.4.1,10.255.4.2,"10.32.20.0 
10.32.21.0 
10.32.22.0 
10.32.23.0",22,10.32.23.254,1008/1024,163.30.90.192 ~ 207,"固定IP區段 
10.32.20.1 ~ 50","10.40.20.0 
10.40.21.0 
10.40.22.0 
10.40.23.0",22,10.40.23.254,1008/1024,163.30.90.208 ~ 223,"固定IP區段 
10.40.20.1 ~ 50",10.72.20.0,22,10.72.23.254,1019/1024,,,10.240.5.0,24,10.240.5.254,250/256,163.30.90.224 ~ 235,163.30.90.248                          ,2216,10.250.5.0,24,10.250.5.254,250256,1216,10.244.5.0,24,10.244.5.254,250/256,163.30.90.236 ~ 247,163.30.90.249,3216,10.252.5.0,24,10.252.5.254,250256,"10.16.10.0 
10.16.11.0",23,10.16.11.254,500/512,10.62.6.0,24,10.62.6.254,249/256,10.48.6.0,24,10.48.6.254,249/256,10.82.20.0,22,10.82.23.254,1020/1024,120.125.192.24 ~ 27,10.52.6.0,24,10.52.6.254,249/256,,10.55.83.0,24,10.55.83.254,249/256,,10.57.83.0,24,10.57.83.254,249/256,,10.95.72.0,22,10.95.75.254,1020/1024,120.125.204.72 ~ 75,10.61.83.0,24,10.61.83.254,249/256,120.125.211.80 ~ 83,10.67.72.0,22,10.67.75.254,1020/1024,120.125.218.80 ~ 83,10.0.137.128,26,10.0.137.190,10.0.137.129,10.0.137.130,10.1.38.0,24,10.1.38.254,249/256
214,7,八德區,01 一般,01國小,茄苳國小,"FTTB-300M
(5:1)",B,214,33YD000031,JDES,jdes,10.12.22.97,10.12.22.98,10.12.22.99,10.12.22.101,10.12.22.102,29,,,120.125.222.7,10.13.0.7,23,163.30.0.1,163.30.0.2,163.30.90.0,25,163.30.90.126,163.30.90.1 ~ 31,10.255.4.1,10.255.4.2,"10.32.24.0 
10.32.25.0 
10.32.26.0 
10.32.27.0",22,10.32.27.254,1008/1024,163.30.90.64 ~ 79,"固定IP區段 
10.32.24.1 ~ 50","10.40.24.0 
10.40.25.0 
10.40.26.0 
10.40.27.0",22,10.40.27.254,1008/1024,163.30.90.80 ~ 95,"固定IP區段 
10.40.24.1 ~ 50",10.72.24.0,22,10.72.27.254,1019/1024,,,10.240.6.0,24,10.240.6.254,250/256,163.30.90.96 ~ 107,163.30.90.120                          ,2214,10.250.6.0,24,10.250.6.254,250256,1214,10.244.6.0,24,10.244.6.254,250/256,163.30.90.108 ~ 119,163.30.90.121,3214,10.252.6.0,24,10.252.6.254,250256,"10.16.12.0 
10.16.13.0",23,10.16.13.254,500/512,10.62.7.0,24,10.62.7.254,249/256,10.48.7.0,24,10.48.7.254,249/256,10.82.24.0,22,10.82.27.254,1020/1024,120.125.192.28 ~ 31,10.52.7.0,24,10.52.7.254,249/256,,10.55.65.0,24,10.55.65.254,249/256,,10.57.65.0,24,10.57.65.254,249/256,,10.95.0.0,22,10.95.3.254,1020/1024,120.125.204.0 ~ 3,10.61.65.0,24,10.61.65.254,249/256,120.125.211.8 ~ 11,10.67.0.0,22,10.67.3.254,1020/1024,120.125.218.8 ~ 11,10.0.137.192,26,10.0.137.254,10.0.137.193,10.0.137.194,10.1.39.0,24,10.1.39.254,249/256
220,8,八德區,01 一般,01國小,瑞豐國小,"FTTB-300M
(5:1)",A,220,33YD000088,RFES,rfes,10.12.22.73,10.12.22.74,10.12.22.75,10.12.22.77,10.12.22.78,29,,,120.125.222.8,10.13.0.8,23,163.30.0.1,163.30.0.2,163.30.88.0,25,163.30.88.126,163.30.88.1 ~ 31,10.255.4.1,10.255.4.2,"10.32.28.0 
10.32.29.0 
10.32.30.0 
10.32.31.0",22,10.32.31.254,1008/1024,163.30.88.64 ~ 79,"固定IP區段 
10.32.28.1 ~ 50","10.40.28.0 
10.40.29.0 
10.40.30.0 
10.40.31.0",22,10.40.31.254,1008/1024,163.30.88.80 ~ 95,"固定IP區段 
10.40.28.1 ~ 50",10.72.28.0,22,10.72.31.254,1019/1024,,,10.240.7.0,24,10.240.7.254,250/256,163.30.88.96 ~ 107,163.30.88.120                          ,2220,10.250.7.0,24,10.250.7.254,250256,1220,10.244.7.0,24,10.244.7.254,250/256,163.30.88.108 ~ 119,163.30.88.121,3220,10.252.7.0,24,10.252.7.254,250256,"10.16.14.0 
10.16.15.0",23,10.16.15.254,500/512,10.62.8.0,24,10.62.8.254,249/256,10.48.8.0,24,10.48.8.254,249/256,10.82.28.0,22,10.82.31.254,1020/1024,120.125.192.32 ~ 35,10.52.8.0,24,10.52.8.254,249/256,,10.55.87.0,24,10.55.87.254,249/256,,10.57.87.0,24,10.57.87.254,249/256,,10.95.88.0,22,10.95.91.254,1020/1024,120.125.204.88 ~ 91,10.61.87.0,24,10.61.87.254,249/256,120.125.211.96 ~ 99,10.67.88.0,22,10.67.91.254,1020/1024,120.125.218.96 ~ 99,10.0.138.0,26,10.0.138.62,10.0.138.1,10.0.138.2,10.1.40.0,24,10.1.40.254,249/256
227,9,八德區,01 一般,01國小,霄裡國小,"FTTB-300M
(5:1)",A,227,33YD000074,SLIES,slies,10.12.22.81,10.12.22.82,10.12.22.83,10.12.22.85,10.12.22.86,29,,,120.125.222.9,10.13.0.9,23,163.30.0.1,163.30.0.2,163.30.89.0,25,163.30.89.126,163.30.89.1 ~ 31,10.255.4.1,10.255.4.2,"10.32.32.0 
10.32.33.0 
10.32.34.0 
10.32.35.0",22,10.32.35.254,1008/1024,163.30.89.64 ~ 79,"固定IP區段 
10.32.32.1 ~ 50","10.40.32.0 
10.40.33.0 
10.40.34.0 
10.40.35.0",22,10.40.35.254,1008/1024,163.30.89.80 ~ 95,"固定IP區段 
10.40.32.1 ~ 50",10.72.32.0,22,10.72.35.254,1019/1024,,,10.240.8.0,24,10.240.8.254,250/256,163.30.89.96 ~ 107,163.30.89.120                          ,2227,10.250.8.0,24,10.250.8.254,250256,1227,10.244.8.0,24,10.244.8.254,250/256,163.30.89.108 ~ 119,163.30.89.121,3227,10.252.8.0,24,10.252.8.254,250256,"10.16.16.0 
10.16.17.0",23,10.16.17.254,500/512,10.62.9.0,24,10.62.9.254,249/256,10.48.9.0,24,10.48.9.254,249/256,10.82.32.0,22,10.82.35.254,1020/1024,120.125.192.36 ~ 39,10.52.9.0,24,10.52.9.254,249/256,,10.55.88.0,24,10.55.88.254,249/256,,10.57.88.0,24,10.57.88.254,249/256,,10.95.92.0,22,10.95.95.254,1020/1024,120.125.204.92 ~ 95,10.61.88.0,24,10.61.88.254,249/256,120.125.211.100 ~ 103,10.67.92.0,22,10.67.95.254,1020/1024,120.125.218.100 ~ 103,10.0.138.64,26,10.0.138.126,10.0.138.65,10.0.138.66,10.1.41.0,24,10.1.41.254,249/256
